Lap;Martin Putzer;Matteo Sannia;Luciano Partacini;Axel Bianchi;Davide Bonomi;Peter Stuffer;Matteo Traina;Marc Pistono;Aldo Pistono;Walter Stimpfl;Fabian Messner;Patrick Stocker;Diego Scalzeri;Raphael Michaeler;Iviglia Alessandro;Ronald Musa
0;0;0.977;0.232;0.68;2.341;1.751;1.88;2.43;2.875;2.896;3.555;3.836;4.061;4.316;4.143;3.399
1;0;0.893;0.533;1.384;3.345;2.099;2.414;4.048;4.178;4.475;5.183;5.407;6.62;6.104;5.701;5.027
2;0;0.663;0.544;1.539;3.708;2.758;3.511;4.73;5.187;5.364;5.904;6.514;9.007;9.114;8.526;5.682
3;0;0.667;0.443;1.895;4.165;3.433;4.574;4.996;8.726;8.348;9.017;8.73;10.857;11.124;10.444;7.943
4;0;0.679;0.557;2.68;4.732;4.606;5.363;5.918;10.211;9.693;10.48;9.961;12.374;12.807;12.178;9.799
5;0;0.608;0.505;3.276;5.622;5.217;6.357;6.486;11.741;10.508;12.09;11.307;13.601;14.199;14.005;10.755
6;0;0.636;0.531;4.021;6.043;6.497;6.774;7.635;12.302;11.871;13.065;12.762;14.954;16.137;15.398;12.216
7;0;0.735;0.631;4.83;7.508;7.061;7.734;8.236;13.025;12.92;14.448;14.158;16.377;17.564;17.23;13.75
8;0;0.725;0.621;5.642;7.801;7.616;8.17;8.767;13.776;13.672;15.547;16.273;17.681;19.406;18.991;14.63
9;0;0.73;0.627;6.384;8.329;8.989;8.72;9.519;14.431;14.326;16.348;17.82;19.62;20.609;20.42;15.893
10;0;0.718;0.616;7.192;9.099;10.131;9.759;10.443;14.944;14.841;17.457;19.696;21.068;22.341;22.108;17.149
11;0;0.837;0.732;8.003;9.798;10.49;10.412;11.014;15.562;15.46;18.698;21.292;22.678;24.018;24.377;
12;0;1.198;1.102;9.038;10.444;11.376;11.681;12.476;16.135;16.033;20.005;22.901;23.909;25.443;25.831;
13;0;2.327;2.084;9.844;11.004;11.944;12.261;13.071;16.816;16.713;21.038;24.541;25.208;27.377;27.923;
14;0;3.692;3.609;10.913;11.587;12.545;12.954;14.618;17.544;17.437;22.607;26.109;26.696;29.067;29.658;
15;0;4.76;4.658;11.859;12;13.124;13.567;15.468;18.29;18.12;24.211;27.709;28.154;30.742;31.361;
16;0;5.543;5.435;12.785;12.891;13.583;14.145;16.461;19.206;19.09;25.361;29.09;29.488;31.973;32.794;
17;0;6.463;6.387;13.754;13.764;14.111;14.836;16.873;19.661;19.536;26.201;30.374;30.95;33.39;34.57;
18;0;7.217;7.119;14.776;14.886;15.03;15.522;17.164;21.611;23.257;26.899;31.819;32.193;35.084;36.117;
19;0;7.854;7.739;15.501;15.615;15.835;16.501;17.849;22.83;24.432;27.934;33.236;33.72;36.459;37.542;
20;0;9.242;9.56;16.396;16.533;16.592;17.241;18.56;23.966;25.116;28.876;34.748;35.092;37.712;39.884;
21;0;9.632;9.938;16.928;17.069;17.187;17.756;19.078;24.74;25.652;29.582;36.182;36.854;38.839;41.503;
